# 2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
nan,nan,nan,nan,nan,nan,-5.0,-8.0,nan,nan,-10.0,1.0,1.0,-6.0,-10.0
nan,nan,nan,nan,nan,nan,-7.0,-13.0,nan,nan,-4.0,0.0,2.0,2.0,-16.0
nan,nan,nan,nan,nan,nan,-2.0,-8.0,nan,nan,2.0,-3.0,-1.0,-19.0,-16.0
nan,nan,nan,nan,nan,nan,-4.0,-13.0,nan,nan,0.0,0.0,-1.0,-25.0,-14.0
nan,nan,nan,nan,nan,nan,-7.0,-9.0,nan,nan,-9.0,-6.0,4.0,-19.0,-15.0
nan,nan,nan,nan,nan,nan,-7.0,-2.0,nan,nan,-18.0,-2.0,-2.0,-19.0,-12.0
nan,nan,nan,nan,nan,nan,-7.0,-10.0,nan,nan,-24.0,-13.0,-10.0,-15.0,-13.0
nan,nan,nan,nan,nan,nan,-10.0,-12.0,nan,nan,-12.0,-5.0,-12.0,-15.0,-9.0
nan,nan,nan,nan,nan,nan,-8.0,-6.0,nan,nan,-3.0,-3.0,-12.0,-11.0,-2.0
nan,nan,nan,nan,nan,nan,-6.0,-12.0,nan,nan,-15.0,-1.0,-12.0,-7.0,0.0
nan,nan,nan,nan,nan,nan,-4.0,-15.0,nan,nan,-24.0,3.0,-8.0,-7.0,0.0
nan,nan,nan,nan,nan,nan,-7.0,-5.0,nan,nan,-18.0,-1.0,-10.0,-6.0,0.0
nan,nan,nan,nan,nan,nan,-2.0,-9.0,nan,nan,-15.0,-5.0,-10.0,-7.0,-2.0
nan,nan,nan,nan,nan,nan,-6.0,-15.0,nan,nan,-7.0,0.0,-6.0,0.0,-13.0
nan,nan,nan,nan,nan,nan,0.6,-12.0,nan,nan,-12.0,-1.0,-3.0,0.0,-22.0
nan,nan,nan,nan,nan,nan,-4.0,-3.0,nan,nan,-21.0,3.0,0.0,-4.0,-25.0
nan,nan,nan,nan,nan,nan,-4.0,1.0,nan,nan,-12.0,-5.0,4.0,-10.0,-14.0
nan,nan,nan,nan,nan,nan,-2.0,4.0,nan,nan,-3.0,6.0,-8.0,-10.0,-1.0
nan,nan,nan,nan,nan,nan,-10.0,-7.0,nan,nan,-4.0,-1.0,-9.0,-5.0,0.0
nan,nan,nan,nan,nan,nan,-9.0,-13.0,nan,nan,-6.0,-5.0,-3.0,-1.0,-2.0
nan,nan,nan,nan,nan,nan,-7.0,-6.0,nan,nan,-2.0,-3.0,1.0,0.0,-7.0
nan,nan,nan,nan,nan,nan,0.0,-6.0,nan,nan,0.0,-1.0,4.0,-2.0,-8.0
nan,nan,nan,nan,nan,nan,1.0,-1.0,nan,nan,0.0,4.0,0.0,-11.0,-7.0
nan,nan,nan,nan,nan,nan,-2.0,2.0,nan,nan,2.0,1.0,2.0,-5.0,-2.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,-1.0,1.0,-3.0,-8.0,-5.0
nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,-3.0,0.0,5.0,-3.0,-8.0
nan,nan,nan,nan,nan,nan,-0.5,nan,nan,nan,8.0,-6.0,4.0,0.0,-10.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,9.0,-7.0,5.0,-2.0,-6.0
nan,nan,nan,nan,nan,nan,-4.0,nan,nan,nan,0.0,-6.0,5.0,-2.0,-4.0
nan,nan,nan,nan,nan,nan,-11.0,nan,nan,nan,3.0,-11.0,5.0,-6.0,-10.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,0.0,-14.0,9.0,-5.0,-7.0
nan,nan,nan,nan,nan,nan,-2.6,nan,nan,nan,-3.0,-11.0,4.0,-5.0,-8.0
nan,nan,nan,nan,nan,nan,0.8,nan,nan,nan,1.0,5.0,3.0,-1.0,-7.0
nan,nan,nan,nan,nan,nan,-3.0,nan,nan,nan,3.0,3.0,8.0,5.0,-3.0
nan,nan,nan,nan,nan,nan,-5.0,nan,nan,nan,0.0,-5.0,2.0,3.0,0.0
nan,nan,nan,nan,nan,nan,-5.0,nan,nan,nan,-2.0,-4.0,0.0,-1.0,-1.0
nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-3.0,-3.0,3.0,-1.0,-2.0
nan,nan,nan,nan,nan,nan,-5.0,nan,nan,nan,-2.0,-7.0,0.0,-3.0,0.0
nan,nan,nan,nan,nan,nan,-2.0,nan,nan,nan,2.0,-5.0,0.0,-7.0,1.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,1.0,1.0,-1.0,4.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.0,-1.0,-5.0,0.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,-3.0,2.0,-7.0,-7.0
nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,0.0,-5.0,-1.0,4.0,-8.0
nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,6.0,-5.0,-3.0,-5.0,-4.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,-2.0,-1.0,2.0,5.0,0.0
nan,nan,nan,nan,nan,nan,-5.0,nan,nan,nan,-11.0,2.0,-2.0,-11.0,1.0
nan,nan,nan,nan,nan,nan,-10.0,nan,nan,nan,-3.0,2.0,-3.0,0.0,2.0
nan,nan,nan,nan,nan,nan,-3.0,nan,nan,nan,0.0,1.0,-10.0,2.0,1.0
nan,nan,nan,nan,nan,nan,-2.0,nan,nan,nan,8.0,0.0,1.0,-8.0,2.0
nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,-2.0,1.0,4.0,-7.0,1.0
nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,-3.0,5.0,1.0,5.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,nan,0.0,-2.0,-2.0,5.0
nan,nan,nan,nan,nan,nan,-4.0,nan,nan,nan,nan,1.0,-5.0,1.0,-3.0
nan,nan,nan,nan,nan,nan,-3.0,nan,nan,nan,nan,0.0,-2.0,10.0,-8.0
nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,5.0,1.0,2.0,-5.0
nan,nan,nan,nan,nan,nan,-3.0,nan,nan,nan,nan,3.0,3.0,-5.0,-5.0
nan,nan,nan,nan,nan,nan,-3.0,nan,nan,nan,nan,2.0,3.0,-5.0,0.0
nan,nan,nan,nan,nan,nan,-6.0,nan,nan,nan,nan,-1.0,0.0,0.0,3.0
nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,-3.0,-1.0,3.0,0.0
nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,-4.0,-2.0,-1.0,1.0
nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,-5.0,3.0,-6.0,0.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,nan,-2.0,2.0,-4.0,1.0
nan,nan,nan,nan,nan,nan,-5.0,nan,nan,nan,nan,1.0,-3.0,0.0,9.0
nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,-1.0,0.0,0.0,3.0
nan,nan,nan,nan,nan,nan,-5.0,nan,nan,nan,nan,1.0,0.0,1.0,1.0
nan,nan,nan,nan,nan,nan,-8.0,nan,nan,nan,nan,5.0,1.0,3.0,-2.0
nan,nan,nan,nan,nan,nan,-4.0,nan,nan,nan,nan,1.0,2.0,-2.0,2.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,nan,1.0,0.0,-7.0,1.0
nan,nan,nan,nan,nan,nan,-2.0,nan,nan,nan,nan,-1.0,-1.0,1.0,3.0
nan,nan,nan,nan,nan,nan,-4.0,nan,nan,nan,nan,-5.0,0.0,-3.0,2.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,nan,-5.0,-2.0,0.0,7.0
nan,nan,nan,nan,nan,nan,-3.0,nan,nan,nan,2.0,-1.0,-4.0,8.0,-5.0
nan,nan,nan,nan,nan,nan,-7.0,nan,nan,nan,7.0,-2.0,-8.0,0.0,-3.0
nan,nan,nan,nan,nan,nan,-9.0,nan,nan,nan,2.0,-2.0,1.0,0.0,-3.0
nan,nan,nan,nan,nan,nan,-8.0,nan,nan,nan,8.0,-10.0,1.0,1.0,-1.0
nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,8.0,-1.0,0.0,1.0,0.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,3.0,0.0,2.0,0.0,-1.0
nan,nan,nan,nan,nan,nan,-3.0,nan,nan,nan,0.0,5.0,2.0,6.0,4.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,3.0,9.0,3.0,2.0,1.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,2.0,1.0,8.0,9.0,3.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,0.0,1.0,2.0,1.0,0.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,0.0,2.0,3.0,0.0,-2.0
nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-3.0,1.0,5.0,4.0,-2.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,-5.0,-1.0,0.0,6.0,0.0
nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,3.0,0.0,3.0,5.0,2.0
nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,8.0,7.0,8.0,6.0,3.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,1.0,2.0,2.0,1.0,6.0
nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,3.0,2.0,6.0,0.0,5.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,2.0,2.0,3.0,1.0,8.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,2.0,1.0,0.0,3.0,5.0
nan,nan,nan,nan,nan,nan,-2.0,nan,nan,nan,2.0,-1.0,-1.0,5.0,1.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,2.0,5.0,-2.0,5.0,0.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,nan,0.0,8.0,-1.0,1.0,0.0
nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,8.0,1.0,3.0,-2.0
nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,5.0,3.0,0.0,5.0,-2.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,1.0,1.0,1.0,3.0,-1.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,1.0,0.0,3.0,6.0,1.0
nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,3.0,6.0,6.0,2.0
nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,4.0,1.0,0.0,6.0,2.0
nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,7.0,2.0,1.0,11.0,5.0
nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,7.0,6.0,1.0,6.0,1.0
nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,5.0,5.0,3.0,7.0,1.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,1.0,6.0,1.0,5.0,0.0
nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,10.0,2.0,5.0,8.0,3.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,9.0,0.0,6.0,9.0,2.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,6.0,5.0,10.0,5.0,4.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,6.0,10.0,4.0,0.0,6.0
nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,6.0,4.0,5.0,10.0,9.0
nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,10.0,7.0,7.0,8.0,5.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,7.0,7.0,8.0,7.0,7.0
nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,8.0,8.0,7.0,10.0,11.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,6.0,10.0,6.0,10.0,7.0
nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,10.0,11.0,15.0,5.0,0.0
nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,7.0,10.0,12.0,10.0,0.0
nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,11.0,8.0,6.0,6.0,7.0
nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,5.0,10.0,10.0,8.0,3.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,13.0,7.0,5.0,5.0,7.0
nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,10.0,8.0,7.0,11.0,10.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,7.0,10.0,7.0,13.0,7.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,10.0,11.0,13.0,12.0,7.0
nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,7.0,6.0,12.0,11.0,7.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,9.0,10.0,5.0,8.0,8.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,12.0,12.0,6.0,9.0,6.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,nan,7.0,8.0,4.0,10.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,nan,12.0,13.0,5.0,5.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,9.0,13.0,11.0,4.0
nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,13.0,5.0,6.0,1.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,nan,12.0,3.0,6.0,8.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,nan,10.0,6.0,3.0,8.0
nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,4.0,5.0,11.0,6.0
nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,6.0,11.0,11.0,9.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,nan,8.0,3.0,10.0,11.0
nan,nan,nan,nan,nan,nan,14.0,nan,nan,nan,nan,8.0,8.0,11.0,14.0
nan,nan,nan,nan,nan,nan,11.0,nan,nan,nan,nan,8.0,3.0,7.0,12.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,12.0,5.0,2.0,12.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,nan,nan,11.0,7.0,13.0,8.0
nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,10.0,13.0,9.0,10.0
nan,nan,nan,nan,nan,nan,15.0,nan,nan,nan,nan,15.0,8.0,7.0,8.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,14.0,8.0,8.0,7.0
nan,nan,nan,nan,nan,nan,12.0,nan,nan,nan,nan,10.0,9.0,11.0,8.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,nan,11.0,10.0,15.0,7.0
nan,nan,nan,nan,nan,nan,11.0,nan,nan,nan,nan,8.0,9.0,13.0,12.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,11.0,11.0,14.0,8.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,16.0,11.0,11.0,4.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,8.0,16.0,13.0,11.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,nan,4.0,12.0,10.0,12.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,9.0,9.0,10.0,10.0
nan,nan,nan,nan,nan,nan,12.0,nan,nan,nan,16.0,3.0,11.0,10.0,17.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,11.0,8.0,9.0,15.0,12.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,10.0,17.0,8.0,9.0,10.0
nan,nan,nan,nan,nan,nan,15.0,nan,nan,nan,12.0,8.0,15.0,7.0,10.0
nan,nan,nan,nan,nan,nan,15.0,nan,nan,24.0,10.0,8.0,14.0,9.0,15.0
nan,nan,nan,nan,nan,nan,14.0,nan,nan,13.0,9.0,13.0,16.0,9.0,12.0
nan,nan,nan,nan,nan,nan,14.0,nan,nan,15.0,6.0,15.0,12.0,12.0,10.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,14.0,11.0,13.0,14.0,20.0,10.0
nan,nan,nan,nan,nan,nan,11.0,nan,nan,11.0,13.0,11.0,12.0,13.0,8.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,11.0,12.0,18.0,10.0,12.0,9.0
nan,nan,nan,nan,nan,nan,10.0,nan,nan,21.0,8.0,11.0,13.0,9.0,13.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,16.0,14.0,7.0,16.0,11.0,17.0
nan,nan,nan,nan,nan,nan,15.0,nan,nan,12.0,11.0,15.0,13.0,7.0,17.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,7.0,16.0,11.0,10.0,9.0,14.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,9.0,8.0,9.0,11.0,7.0,13.0
nan,nan,nan,nan,nan,nan,12.0,nan,nan,12.0,1.0,8.0,13.0,8.0,8.0
nan,nan,nan,nan,nan,nan,11.0,nan,nan,11.0,4.0,8.0,10.0,4.0,14.0
nan,nan,nan,nan,nan,nan,15.0,nan,nan,6.0,6.0,16.0,8.0,5.0,15.0
nan,nan,nan,nan,nan,nan,15.0,nan,nan,6.0,8.0,12.0,9.0,7.0,13.0
nan,nan,nan,nan,nan,nan,12.0,nan,nan,6.0,10.0,9.0,8.0,12.0,12.0
nan,nan,nan,nan,nan,nan,12.0,nan,nan,8.0,14.0,15.0,8.0,16.0,10.0
nan,nan,nan,nan,nan,nan,14.0,nan,nan,13.0,12.0,10.0,8.0,13.0,13.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,11.0,9.0,9.0,10.0,11.0,12.0
nan,nan,nan,nan,nan,nan,10.0,nan,nan,12.0,13.0,9.0,8.0,6.0,9.0
nan,nan,nan,nan,nan,nan,11.0,nan,nan,7.0,10.0,13.0,9.0,5.0,11.0
nan,nan,nan,nan,nan,nan,10.0,nan,nan,6.0,12.0,12.0,6.0,6.0,15.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,12.0,10.0,13.0,10.0,9.0,12.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,8.0,6.0,19.0,9.0,9.0,11.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,6.0,7.0,13.0,7.0,9.0,9.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,8.0,17.0,4.0,9.0,10.0,11.0
nan,nan,nan,nan,nan,nan,5.0,nan,nan,17.0,16.0,5.0,10.0,9.0,9.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,14.0,10.0,7.0,9.0,8.0,8.0
nan,nan,nan,nan,nan,nan,14.0,nan,nan,13.0,16.0,9.0,10.0,11.0,14.0
nan,nan,nan,nan,nan,nan,10.0,nan,nan,14.0,13.0,7.0,6.0,6.0,7.0
nan,nan,nan,nan,nan,nan,23.0,nan,nan,12.0,8.0,11.0,10.0,11.0,12.0
nan,nan,nan,nan,nan,nan,11.0,nan,nan,7.0,3.0,11.0,7.0,12.0,10.0
nan,nan,nan,nan,nan,nan,12.0,nan,nan,7.0,3.0,7.0,12.0,9.0,10.0
nan,nan,nan,nan,nan,nan,6.0,nan,nan,12.0,10.0,-1.0,10.0,2.0,11.0
nan,nan,nan,nan,nan,nan,9.0,nan,nan,10.0,11.0,2.0,12.0,9.0,7.0
nan,nan,nan,nan,nan,nan,15.0,nan,nan,9.0,16.0,12.0,6.0,9.0,10.0
nan,nan,nan,nan,nan,nan,16.0,nan,nan,8.0,1.0,13.0,12.0,10.0,13.0
nan,nan,nan,nan,nan,nan,10.0,nan,nan,7.0,9.0,7.0,10.0,11.0,11.0
nan,nan,nan,nan,nan,nan,15.0,nan,nan,8.0,9.0,8.0,14.0,14.0,16.0
nan,nan,nan,nan,nan,nan,10.0,nan,nan,10.0,15.0,3.0,10.0,13.0,5.0
nan,nan,nan,nan,nan,nan,11.0,nan,nan,10.0,12.0,10.0,8.0,10.0,2.0
nan,nan,nan,nan,nan,nan,16.0,nan,nan,9.0,8.0,11.0,7.0,7.0,8.0
nan,nan,nan,nan,nan,nan,11.0,nan,nan,8.0,7.0,6.0,9.0,5.0,13.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,11.0,13.0,6.0,8.0,9.0,13.0
nan,nan,nan,nan,nan,nan,14.0,nan,nan,9.0,13.0,3.0,12.0,15.0,7.0
nan,nan,nan,nan,nan,nan,12.0,nan,nan,6.0,12.0,nan,13.0,9.0,11.0
nan,nan,nan,nan,nan,nan,7.0,nan,nan,8.0,13.0,nan,8.0,6.0,15.0
nan,nan,nan,nan,nan,nan,2.0,nan,nan,13.0,13.0,nan,11.0,4.0,10.0
nan,nan,nan,nan,nan,nan,-1.0,nan,nan,6.0,11.0,nan,7.0,5.0,12.0
nan,nan,nan,nan,nan,nan,4.0,nan,nan,4.0,11.0,nan,2.0,3.0,16.0
nan,nan,nan,nan,nan,nan,10.0,nan,nan,3.0,6.0,nan,2.0,9.0,11.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,7.0,7.0,nan,5.0,3.0,13.0
nan,nan,nan,nan,nan,nan,7.0,nan,nan,9.0,7.0,nan,6.0,5.0,2.0
nan,nan,nan,nan,nan,nan,2.0,nan,nan,11.0,8.0,nan,10.0,7.0,9.0
nan,nan,nan,nan,nan,nan,2.0,nan,nan,7.0,9.0,nan,15.0,5.0,3.0
nan,nan,nan,nan,nan,nan,5.0,nan,nan,3.0,2.0,nan,10.0,11.0,6.0
nan,nan,nan,nan,nan,nan,13.0,nan,nan,-2.0,5.0,nan,8.0,12.0,5.0
nan,nan,nan,nan,nan,nan,8.0,nan,nan,5.0,10.0,nan,12.0,12.0,5.0
nan,nan,nan,nan,nan,20.0,4.0,nan,nan,11.0,11.0,nan,13.0,11.0,11.0
nan,nan,nan,nan,nan,8.0,6.0,nan,nan,1.0,11.0,nan,7.0,11.0,12.0
nan,nan,nan,nan,nan,4.0,7.0,nan,nan,11.0,9.0,nan,4.0,16.0,12.0
nan,nan,nan,nan,nan,6.0,8.0,nan,nan,10.0,5.0,nan,-1.0,16.0,11.0
nan,nan,nan,nan,nan,4.0,4.0,nan,nan,6.0,3.0,nan,7.0,11.0,2.0
